medicamento,cantidad,precio,descripcion
Nastizol caja 150u,200,102,"Alivio sintomático de la gripe (caracterizada por fiebre, tos, congestión ótica y nasal, dolores de cabeza, dolores musculares), resfrío, catarro común, rinitis alérgica."
Panadol 500mg caja 100unid,2000,56,"Alivio rápido y efectivo del dolor y la fiebre. No irrita el estómago."
Ivermectina 6mg/ml,50,10.20,"La ivermectina es un fármaco antiparasitario desarrollado durante la década de 1970 tras una asociación entre el instituto Kitasato en Japón y Merck & Co"
Ramipril 5mg,500,4.84,"El ramipril se usa solo o en combinación con otros medicamentos para tratar la hipertensión. También se usa para reducir el riesgo de un ataque cardíaco."
Amlodipino 5mg tableta, 1000, 0.06, "El amlodipino se usa solo o combinado con otros medicamentos para tratar la presión arterial alta en los adultos y niños mayores de 6 años de edad. También se usa para tratar ciertos tipos de angina (dolor de pecho)."
Omeprazol 20mg,1000,0.12,"Se utiliza solo o con otros medicamentos para tratar los síntomas de enfermedad por reflujo gastroesofágico"
Levotiroxina sódica 100mg, 2000, 0.2, "Medicamento para reemplazar la hormona tiroidea y/o aliviar el estrés sobre la glándula tiroides"
Geriaplus Defense Sabor Vainilla,1000,99.90,"Bienvenidos a un mundo de nutrición, seguridad y cuidado para cubrir las necesidades alimenticias del adulto y adulto mayor. Los productos Geriaplus fueron diseñados especialmente para brindar los nutrientes necesarios como proteinas, carbohidratos, vitaminas y minerales para contribuir a mantener una vida activa"
Alcohol 100X 70%,500,9.50,"Alcohol medicinal de 70% para uso externo"
Test de Embarazo DLA,500,9.30,"Indicado para la determinación de Gonadotropina Coriónica humana en la orina para la detección temprana del embarazo"
Similac 3 Pro Sensitive,200,63.90,"Formula infantil para niños en crecimiento científicamente diseñada para brindar la mejor tolerancia gracias a su mezcla única de grasas, libre de palma oleína con prebióticos y probióticos"
Máquina para Afeitar Gillette,500,18.90,"Siempre busca dar lo mejor de ti con Gillette, sus productos ayudan a los hombres a poder lucir, sentir y ser su mejor versión de cada día. Disfruta de productos especializados en cuidado personal, protección e higiene masculina con Gillette"
